ensemble,n,d,degree,seed,basis_size_m,generator_type,cone,solver,status,value,solve_time,wall_time,error
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000820774,0.1221048409352079,
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-694.2488907512202,0.002147304,0.13486177194863558,
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.13356823602446713,0.001116205,0.029452678048983216,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000765577,0.10063866898417473,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.002180998,0.14538951800204813,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.017193560585397647,0.001110304,0.03109510091599077,
hard_sos,2,2,4,2,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00078201,0.10599904193077236,
hard_sos,2,2,4,2,6,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.001979544,0.14033038495108485,
hard_sos,2,2,4,2,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.005101027504257142,0.000808734,0.05934019002597779,
hard_sos,2,2,4,3,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000850295,0.10716402297839522,
hard_sos,2,2,4,3,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-2185.907019231919,0.002552425,0.14009105297736824,
hard_sos,2,2,4,3,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.04129795093797926,0.000933855,0.029459486017003655,
hard_sos,2,2,4,4,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000783333,0.10443167900666595,
hard_sos,2,2,4,4,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal_inaccurate,-1544.4073839530045,0.002028596,0.14229732507374138,
hard_sos,2,2,4,4,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.019903160084920744,0.000949491,0.028869419009424746,
hard_sos,2,2,4,5,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000824072,0.1010050579207018,
hard_sos,2,2,4,5,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-818.7509438030094,0.001793227,0.1650498469825834,
hard_sos,2,2,4,5,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.10451342088703804,0.000855497,0.02790509897749871,
hard_sos,2,2,4,6,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000749884,0.10058269905857742,
hard_sos,2,2,4,6,6,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.002703977,0.13547105994075537,
hard_sos,2,2,4,6,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.004662027611842004,0.000865089,0.028029117034748197,
hard_sos,2,2,4,7,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001111165,0.09956754196900874,
hard_sos,2,2,4,7,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-0.15456169113051127,0.00092392,0.13763788505457342,
hard_sos,2,2,4,7,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.010404534592431994,0.000742567,0.031081269029527903,
hard_sos,2,2,4,8,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00075028,0.10189034801442176,
hard_sos,2,2,4,8,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal_inaccurate,-73602.64183541239,0.002319512,0.17593686108011752,
hard_sos,2,2,4,8,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.008717496225461044,0.000809331,0.02711762092076242,
hard_sos,2,2,4,9,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000731972,0.10347788396757096,
hard_sos,2,2,4,9,6,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.002198569,0.15570972603745759,
hard_sos,2,2,4,9,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.050991406012857905,0.000671741,0.027733786031603813,
hard_sos,2,3,6,0,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001662584,0.25818954105488956,
hard_sos,2,3,6,0,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.006237268,0.38114330801181495,
hard_sos,2,3,6,0,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.0875351427330895,0.002166572,0.052287335973232985,
hard_sos,2,3,6,1,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00179745,0.24962106300517917,
hard_sos,2,3,6,1,10,hard_sos_random_psd_gram,sdsos,CLARABEL,exception,,,0.39165499806404114,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")"
hard_sos,2,3,6,1,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.3162570678272185,0.002312278,0.05441183701623231,
hard_sos,2,3,6,2,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001979129,0.25088847998995334,
hard_sos,2,3,6,2,10,hard_sos_random_psd_gram,sdsos,CLARABEL,exception,,,0.3787059140158817,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")"
hard_sos,2,3,6,2,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.20285759705218245,0.003116551,0.04999205295462161,
hard_sos,2,3,6,3,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001843758,0.2401394279440865,
hard_sos,2,3,6,3,10,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-94246.40852763278,0.007140543,0.3613608640152961,
hard_sos,2,3,6,3,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.09391231331712989,0.002797649,0.054161955951713026,
hard_sos,2,3,6,4,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001890244,0.24189876101445407,
hard_sos,2,3,6,4,10,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-3566.272447638653,0.006616956,0.38945663906633854,
hard_sos,2,3,6,4,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.020012561071006185,0.002799018,0.0609615120338276,
hard_sos,2,3,6,5,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00192089,0.25279513897839934,
hard_sos,2,3,6,5,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.007008874,0.3714862969936803,
hard_sos,2,3,6,5,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.18507480594764875,0.002456817,0.05081443302333355,
hard_sos,2,3,6,6,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00164344,0.2325713960453868,
hard_sos,2,3,6,6,10,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal_inaccurate,-290881.088184785,0.006899478,0.3541782289976254,
hard_sos,2,3,6,6,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.16311526639638813,0.002678691,0.050023384974338114,
hard_sos,2,3,6,7,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.002029636,0.25582852796651423,
hard_sos,2,3,6,7,10,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-6474.6665773668665,0.008130174,0.37568066001404077,
hard_sos,2,3,6,7,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.41496124455536243,0.002303365,0.048431430011987686,
hard_sos,2,3,6,8,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001779772,0.24821180093567818,
hard_sos,2,3,6,8,10,hard_sos_random_psd_gram,sdsos,CLARABEL,exception,,,0.3317998490529135,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")"
hard_sos,2,3,6,8,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,1.2983432085837912,0.002648749,0.05003208597190678,
