ensemble,n,d,degree,seed,basis_size_m,generator_type,cone,solver,status,value,solve_time,wall_time,error,is_success,is_reliable_success,finite_value,sos_best_value,gap_to_sos_best,rel_gap_to_sos_best
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000820774,0.1221048409352079,,False,False,,0.13356823602446713,,
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-694.2488907512202,0.002147304,0.13486177194863558,,True,True,-694.2488907512202,0.13356823602446713,694.3824589872446,694.3824589872446
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.13356823602446713,0.001116205,0.029452678048983216,,True,True,0.13356823602446713,0.13356823602446713,0.0,0.0
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000765577,0.10063866898417473,,False,False,,0.017193560585397647,,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.002180998,0.14538951800204813,,False,False,,0.017193560585397647,,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.017193560585397647,0.001110304,0.03109510091599077,,True,True,0.017193560585397647,0.017193560585397647,0.0,0.0
hard_sos,2,2,4,2,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00078201,0.10599904193077236,,False,False,,0.005101027504257142,,
hard_sos,2,2,4,2,6,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.001979544,0.14033038495108485,,False,False,,0.005101027504257142,,
hard_sos,2,2,4,2,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.005101027504257142,0.000808734,0.05934019002597779,,True,True,0.005101027504257142,0.005101027504257142,0.0,0.0
hard_sos,2,2,4,3,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000850295,0.10716402297839522,,False,False,,0.04129795093797926,,
hard_sos,2,2,4,3,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-2185.907019231919,0.002552425,0.14009105297736824,,True,True,-2185.907019231919,0.04129795093797926,2185.948317182857,2185.948317182857
hard_sos,2,2,4,3,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.04129795093797926,0.000933855,0.029459486017003655,,True,True,0.04129795093797926,0.04129795093797926,0.0,0.0
hard_sos,2,2,4,4,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000783333,0.10443167900666595,,False,False,,0.019903160084920744,,
hard_sos,2,2,4,4,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal_inaccurate,-1544.4073839530045,0.002028596,0.14229732507374138,,True,False,-1544.4073839530045,0.019903160084920744,1544.4272871130893,1544.4272871130893
hard_sos,2,2,4,4,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.019903160084920744,0.000949491,0.028869419009424746,,True,True,0.019903160084920744,0.019903160084920744,0.0,0.0
hard_sos,2,2,4,5,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000824072,0.1010050579207018,,False,False,,0.10451342088703804,,
hard_sos,2,2,4,5,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-818.7509438030094,0.001793227,0.1650498469825834,,True,True,-818.7509438030094,0.10451342088703804,818.8554572238965,818.8554572238965
hard_sos,2,2,4,5,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.10451342088703804,0.000855497,0.02790509897749871,,True,True,0.10451342088703804,0.10451342088703804,0.0,0.0
hard_sos,2,2,4,6,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000749884,0.10058269905857742,,False,False,,0.004662027611842004,,
hard_sos,2,2,4,6,6,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.002703977,0.13547105994075537,,False,False,,0.004662027611842004,,
hard_sos,2,2,4,6,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.004662027611842004,0.000865089,0.028029117034748197,,True,True,0.004662027611842004,0.004662027611842004,0.0,0.0
hard_sos,2,2,4,7,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001111165,0.09956754196900874,,False,False,,0.010404534592431994,,
hard_sos,2,2,4,7,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-0.15456169113051127,0.00092392,0.13763788505457342,,True,True,-0.15456169113051127,0.010404534592431994,0.16496622572294325,0.16496622572294325
hard_sos,2,2,4,7,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.010404534592431994,0.000742567,0.031081269029527903,,True,True,0.010404534592431994,0.010404534592431994,0.0,0.0
hard_sos,2,2,4,8,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00075028,0.10189034801442176,,False,False,,0.008717496225461044,,
hard_sos,2,2,4,8,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal_inaccurate,-73602.64183541239,0.002319512,0.17593686108011752,,True,False,-73602.64183541239,0.008717496225461044,73602.65055290861,73602.65055290861
hard_sos,2,2,4,8,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.008717496225461044,0.000809331,0.02711762092076242,,True,True,0.008717496225461044,0.008717496225461044,0.0,0.0
hard_sos,2,2,4,9,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000731972,0.10347788396757096,,False,False,,0.050991406012857905,,
hard_sos,2,2,4,9,6,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.002198569,0.15570972603745759,,False,False,,0.050991406012857905,,
hard_sos,2,2,4,9,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.050991406012857905,0.000671741,0.027733786031603813,,True,True,0.050991406012857905,0.050991406012857905,0.0,0.0
hard_sos,2,3,6,0,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001662584,0.25818954105488956,,False,False,,0.0875351427330895,,
