n,d,degree,seed,basis_size_m,generator_type,solver,method,round,status,value,solve_time,wall_time,error,basis_condition
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.13356823602446713,0.000814593,0.031551997060887516,,1.0
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-694.2488907512202,0.001652362,0.10454620898235589,,1.0
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-4.053912358757626,0.001517597,0.12456125405151397,,149.17375751690298
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,0.0006963564418475792,0.001111517,0.10089192306622863,,18.736817374815413
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,0.11109492754372044,0.001134621,0.10251069697551429,,58.073310767802255
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,0.1335350013841619,0.001311968,0.09938730706926435,,189.41435647966117
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.13356808028474942,0.001028402,0.10512709303293377,,292.908596991454
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,6,optimal,0.1335681052422498,0.00095564,0.12709012208506465,,4501.975768734468
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,7,optimal,0.13356812948881322,0.000812612,0.10514337697532028,,5158.004277574303
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,8,optimal,0.13356814286180574,0.000752902,0.10262272006366402,,6160.346901705711
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,9,optimal,0.13356815148449339,0.000780447,0.1018807899672538,,7047.866638931096
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,10,optimal,0.13356815750625756,0.000755151,0.1027721450664103,,7882.959731165777
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.13356818190933675,0.000713659,0.12076433200854808,,99306.91720194806
2,2,4,1,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.017193560585397647,0.000764731,0.02893659006804228,,1.0
2,2,4,1,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.001484943,0.09893692296463996,,1.0
2,2,4,1,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.017192779716520702,0.000766467,0.10096984100528061,,190809.29066327555
2,2,4,2,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.005101027504257142,0.000643051,0.027101367013528943,,1.0
2,2,4,2,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.001374231,0.10388909198809415,,1.0
2,2,4,2,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.005100993248333416,0.000744572,0.10292565904092044,,333107.4696038697
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.04129795093797926,0.000755919,0.028120015049353242,,1.0
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-2185.907019231919,0.001835518,0.12823750800453126,,1.0
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-55.60100829909272,0.001530818,0.10513094207271934,,420.33791566043806
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-6.176795955086692,0.001234054,0.1039684679126367,,96.01795829913796
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,-2.9194788178616893,0.000971966,0.10340198106132448,,76.16006680594649
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,-1.0806448079186963,0.001164807,0.10281471407506615,,149.67101732408963
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,-0.4100328124401472,0.001134417,0.12198277190327644,,101.65590275492481
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,6,optimal,-0.13825178612429112,0.001205002,0.10239428700879216,,140.63065468907962
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,7,optimal,0.0020217060765757534,0.00120211,0.10192747204564512,,215.13966348958056
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,8,optimal,0.029387597756312583,0.001020287,0.10034316102974117,,130.5618802425562
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,9,optimal,0.0399556443672473,0.001158133,0.10155592404771596,,146.86976337546832
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,10,optimal,0.04128367343981576,0.001332127,0.10173308895900846,,256.90534460980444
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.04129777521745947,0.000678708,0.09882986498996615,,342670.80730234756
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.019903160084920744,0.000694263,0.027360706008039415,,1.0
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal_inaccurate,-1544.4073839530045,0.001551579,0.1065738289617002,,1.0
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-13.767750509002102,0.001463794,0.1045480789616704,,243.40099445130826
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-0.13021912327124885,0.001297272,0.10302156093530357,,16.153060342680543
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,0.01830432358759248,0.001092684,0.10285214008763433,,21.81653010872955
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,0.019902690023806208,0.001222835,0.10038209904450923,,152.9595516830062
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.019902752806241972,0.000766257,0.10806476196739823,,14881.889390754617
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,6,optimal,0.019902788148329215,0.000740583,0.10264045000076294,,19073.049937385676
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,7,optimal,0.019902806347863677,0.000735482,0.10175523010548204,,23836.30116074432
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,8,optimal,0.019902816768140173,0.000696901,0.10189971094951034,,28277.178903865395
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,9,optimal,0.019902823549378876,0.00072421,0.12349705002270639,,32304.370199199257
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,10,optimal,0.01990282829814539,0.00074708,0.10303138894960284,,36095.52306385928
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.01990284233434635,0.000735489,0.10210773895960301,,254878.79426038027
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.10451342088703804,0.000630741,0.025605716975405812,,1.0
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-818.7509438030094,0.001456453,0.1070720759453252,,1.0
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-8.296296854942083,0.00147482,0.10366982908453792,,85.29810175358831
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,0.06634238289151849,0.001048266,0.12489767500665039,,10.309275193280222
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,0.10403578864900641,0.001089263,0.1044706969987601,,21.849856148758217
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,0.10451084368271572,0.001105603,0.10269858001265675,,120.42370342614542
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.10451334143860028,0.000941697,0.10195970407221466,,1461.8523809973592
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,6,optimal,0.10451335369155089,0.000809883,0.10180571803357452,,9554.244247518434
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,7,optimal,0.10451336308891024,0.000795828,0.12707323394715786,,10777.331826816271
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,8,optimal,0.10451336949424335,0.000751935,0.10345928801689297,,12097.050378200036
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,9,optimal,0.10451337415263588,0.000772657,0.10277177102398127,,13336.990453845203
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,10,optimal,0.10451337769738403,0.000749813,0.10286776698194444,,14530.822370553109
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.10451339144693242,0.000746616,0.10339009901508689,,197809.14656652478
2,2,4,6,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.004662027611842004,0.000676167,0.02745309902820736,,1.0
2,2,4,6,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.00189183,0.12740377301815897,,1.0
2,2,4,6,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.004661798847114119,0.000762027,0.10464349994435906,,370003.7518760926
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.010404534592431994,0.000550822,0.028235818026587367,,1.0
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-0.15456169113051127,0.000712687,0.10757027904037386,,1.0
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,0.010199664038890744,0.001249759,0.11055090499576181,,5.3843030824264835
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,0.010401535115161755,0.001290079,0.1053162650205195,,165.47001947175505
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,0.010404484323530805,0.000959973,0.1242093559121713,,924.520179049827
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,0.010404511757701407,0.000730962,0.10599515005014837,,4871.214137562456
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.010404531331520842,0.000750036,0.10566926398314536,,5718.036049259186
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,6,optimal,0.010404543282155494,0.000737302,0.10377225303091109,,6673.55033869499
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,7,optimal,0.010404551023458126,0.000720424,0.10304296493995935,,7567.9990721608965
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,8,optimal,0.010404556472074384,0.000694245,0.12345952400937676,,8394.403050009434
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,9,optimal,0.010404560516103431,0.000744525,0.10391370300203562,,9179.541804351267
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,10,optimal,0.010404563634114674,0.000750518,0.10306689608842134,,9936.949993822449
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.010404523848001845,0.000803502,0.10253148793708533,,141530.563272346
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.008717496225461044,0.000639791,0.027643130044452846,,1.0
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal_inaccurate,-73602.64183541239,0.001805878,0.10895372601225972,,1.0
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-275.9198886185961,0.001581791,0.13389264000579715,,1913.7751867072482
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-0.26898539170867897,0.001489895,0.10372422204818577,,104.12711345876124
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,0.008717135539812038,0.001280395,0.10335919901262969,,27.947240355495452
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,0.00871718657439933,0.00069792,0.10199433099478483,,20711.865492510748
