n,d,degree,seed,basis_size_m,generator_type,solver,method,round,status,value,solve_time,wall_time,error,basis_condition
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.13356823602446713,0.000878322,0.03365209593903273,,1.0
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-694.2488907512202,0.00163127,0.10893171897623688,,1.0
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-4.053912358757626,0.001563599,0.12578535603825003,,149.17375751690298
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,0.0006963564418475792,0.001195524,0.1079531559953466,,18.736817374815413
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,0.11109492754372044,0.001057387,0.10424804501235485,,58.073310767802255
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,0.1335350013841619,0.001222267,0.10144963394850492,,189.41435647966117
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.13356808028474942,0.001013107,0.09940836997702718,,292.908596991454
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.13356818190933675,0.000748806,0.11953601008281112,,99306.91720194806
2,2,4,1,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.017193560585397647,0.000728631,0.027948429924435914,,1.0
2,2,4,1,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.001430441,0.09843818889930844,,1.0
2,2,4,1,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.017192779716520702,0.000722369,0.09864545206073672,,190809.29066327555
2,2,4,2,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.005101027504257142,0.000630217,0.028105275006964803,,1.0
2,2,4,2,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.00137435,0.10221700498368591,,1.0
2,2,4,2,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.005100993248333416,0.000732866,0.10160772199742496,,333107.4696038697
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.04129795093797926,0.000646166,0.027481697965413332,,1.0
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-2185.907019231919,0.00182315,0.12737251201178879,,1.0
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-55.60100829909272,0.001497618,0.10743820201605558,,420.33791566043806
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-6.176795955086692,0.001216069,0.10112562892027199,,96.01795829913796
