n,d,degree,seed,basis_size_m,generator_type,solver,method,round,status,value,solve_time,wall_time,error,basis_condition,is_success,finite_value,sos_value,gap_to_sos,rel_gap_to_sos
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.13356823602446713,0.000878322,0.03365209593903273,,1.0,True,0.13356823602446713,0.13356823602446713,0.0,0.0
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-694.2488907512202,0.00163127,0.10893171897623688,,1.0,True,-694.2488907512202,0.13356823602446713,694.3824589872446,694.3824589872446
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-4.053912358757626,0.001563599,0.12578535603825003,,149.17375751690298,True,-4.053912358757626,0.13356823602446713,4.187480594782093,4.187480594782093
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,0.0006963564418475792,0.001195524,0.1079531559953466,,18.736817374815413,True,0.0006963564418475792,0.13356823602446713,0.13287187958261956,0.13287187958261956
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,0.11109492754372044,0.001057387,0.10424804501235485,,58.073310767802255,True,0.11109492754372044,0.13356823602446713,0.02247330848074669,0.02247330848074669
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,0.1335350013841619,0.001222267,0.10144963394850492,,189.41435647966117,True,0.1335350013841619,0.13356823602446713,3.323464030521861e-05,3.323464030521861e-05
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.13356808028474942,0.001013107,0.09940836997702718,,292.908596991454,True,0.13356808028474942,0.13356823602446713,1.557397177054387e-07,1.557397177054387e-07
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.13356818190933675,0.000748806,0.11953601008281112,,99306.91720194806,True,0.13356818190933675,0.13356823602446713,5.411513037678617e-08,5.411513037678617e-08
2,2,4,1,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.017193560585397647,0.000728631,0.027948429924435914,,1.0,True,0.017193560585397647,0.017193560585397647,0.0,0.0
2,2,4,1,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.001430441,0.09843818889930844,,1.0,False,,0.017193560585397647,,
2,2,4,1,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.017192779716520702,0.000722369,0.09864545206073672,,190809.29066327555,True,0.017192779716520702,0.017193560585397647,7.808688769449235e-07,7.808688769449235e-07
2,2,4,2,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.005101027504257142,0.000630217,0.028105275006964803,,1.0,True,0.005101027504257142,0.005101027504257142,0.0,0.0
2,2,4,2,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.00137435,0.10221700498368591,,1.0,False,,0.005101027504257142,,
