ensemble,n,d,degree,seed,basis_size_m,generator_type,cone,solver,status,value,solve_time,wall_time,error
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000599627,0.0736573179019615,
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-694.2488907512202,0.001640899,0.09764162602368742,
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.13356823602446713,0.000852399,0.021320014027878642,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000543062,0.07093305292073637,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.001596345,0.10048571694642305,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.017193560585397647,0.000764488,0.021739962976425886,
hard_sos,3,2,4,0,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001294611,0.2135975769488141,
hard_sos,3,2,4,0,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.004133872,0.26359516207594424,
hard_sos,3,2,4,0,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.0535615856661635,0.002048075,0.044467055005952716,
hard_sos,3,2,4,1,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001398638,0.1901837739860639,
hard_sos,3,2,4,1,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.00455312,0.2679989980533719,
hard_sos,3,2,4,1,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.17728612697417714,0.002135748,0.06709920393768698,
