ensemble,n,d,degree,seed,basis_size_m,generator_type,cone,solver,status,value,solve_time,wall_time,error
easy_dsos,2,2,4,0,6,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.501158918050183,0.000283357,0.04704886500257999,
easy_dsos,2,2,4,0,6,easy_dsos_dd_gram,dsos,SCS,optimal,1.5011564212073978,0.000568966,0.043896791990846395,
easy_dsos,2,2,4,0,6,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.5295083570876613,0.000624764,0.06068269000388682,
easy_dsos,2,2,4,0,6,easy_dsos_dd_gram,sdsos,SCS,optimal,1.5295084673331458,0.023983519999999998,0.08290281298104674,
easy_dsos,2,2,4,0,6,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.5295095382418205,0.000463024,0.013316874043084681,
easy_dsos,2,2,4,0,6,easy_dsos_dd_gram,sos,SCS,optimal,1.529509546020386,0.001677712,0.014831586042419076,
easy_dsos,2,2,4,1,6,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.593140121737525,0.000300156,0.06343831506092101,
easy_dsos,2,2,4,1,6,easy_dsos_dd_gram,dsos,SCS,optimal,1.5931423923197627,0.0007238149999999999,0.0439667790196836,
easy_dsos,2,2,4,1,6,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.600026478971346,0.00057973,0.06022804894018918,
easy_dsos,2,2,4,1,6,easy_dsos_dd_gram,sdsos,SCS,optimal,1.600024894787508,0.0008345129999999999,0.06030086800456047,
easy_dsos,2,2,4,1,6,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.6000270057573753,0.000310205,0.013412746018730104,
easy_dsos,2,2,4,1,6,easy_dsos_dd_gram,sos,SCS,optimal,1.6000270348016663,0.0005040649999999999,0.013755448046140373,
easy_dsos,2,2,4,2,6,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.5674703513908619,0.000295669,0.04370257700793445,
easy_dsos,2,2,4,2,6,easy_dsos_dd_gram,dsos,SCS,optimal,1.5674731978860783,0.000632237,0.04392972798086703,
easy_dsos,2,2,4,2,6,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.5832974309986163,0.00060084,0.08332346205133945,
easy_dsos,2,2,4,2,6,easy_dsos_dd_gram,sdsos,SCS,optimal,1.583304821406545,0.001140128,0.061400578008033335,
easy_dsos,2,2,4,2,6,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.5832976785929234,0.000313295,0.013252900098450482,
easy_dsos,2,2,4,2,6,easy_dsos_dd_gram,sos,SCS,optimal,1.583297736873501,0.00044249899999999995,0.013263319968245924,
easy_dsos,2,2,4,3,6,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.7630322445964153,0.000281547,0.04425128304865211,
easy_dsos,2,2,4,3,6,easy_dsos_dd_gram,dsos,SCS,optimal,1.7630318554932314,0.000973719,0.04448221903294325,
easy_dsos,2,2,4,3,6,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.80901327984245,0.000609726,0.060500422958284616,
easy_dsos,2,2,4,3,6,easy_dsos_dd_gram,sdsos,SCS,optimal,1.8090108509415939,0.002691783,0.062437404063530266,
easy_dsos,2,2,4,3,6,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.809017553075533,0.000312228,0.014012485044077039,
easy_dsos,2,2,4,3,6,easy_dsos_dd_gram,sos,SCS,optimal,1.8090176916756247,0.000449364,0.03325385693460703,
easy_dsos,2,2,4,4,6,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.5000949782916293,0.000281686,0.0434208830120042,
easy_dsos,2,2,4,4,6,easy_dsos_dd_gram,dsos,SCS,optimal,1.500095757503445,0.0006365920000000001,0.04442596703302115,
easy_dsos,2,2,4,4,6,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.5275874814112154,0.000617983,0.061343225999735296,
easy_dsos,2,2,4,4,6,easy_dsos_dd_gram,sdsos,SCS,optimal,1.5276121618825687,0.036237609,0.09593708405736834,
easy_dsos,2,2,4,4,6,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.5275905299739176,0.000330657,0.013031214009970427,
easy_dsos,2,2,4,4,6,easy_dsos_dd_gram,sos,SCS,optimal,1.5275906963590025,0.000442292,0.013187923934310675,
easy_dsos,3,2,4,0,10,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.8663647400676804,0.000706803,0.1378574549453333,
easy_dsos,3,2,4,0,10,easy_dsos_dd_gram,dsos,SCS,optimal,1.8663648596244893,0.0019174169999999998,0.1170825770823285,
easy_dsos,3,2,4,0,10,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.8879836118567468,0.001735545,0.18765828607138246,
easy_dsos,3,2,4,0,10,easy_dsos_dd_gram,sdsos,SCS,optimal,1.8879881330731505,0.007937890999999999,0.17200251505710185,
easy_dsos,3,2,4,0,10,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.887984396875302,0.000920569,0.027340313070453703,
