ensemble,n,d,degree,seed,basis_size_m,generator_type,cone,solver,status,value,solve_time,wall_time,error
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000440091,0.0541900749085471,
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,dsos,SCS,infeasible,-inf,0.000520303,0.048833664041012526,
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-694.2488907512202,0.001146853,0.0682073449715972,
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,sdsos,SCS,optimal_inaccurate,-178.2842610838754,0.151379794,0.21642155200242996,
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.13356823602446713,0.000579779,0.015047187102027237,
hard_sos,2,2,4,0,6,hard_sos_random_psd_gram,sos,SCS,optimal,0.13356737586261483,0.00147326,0.015118044102564454,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000347708,0.06704709399491549,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,dsos,SCS,infeasible,-inf,0.00022613400000000001,0.04799209407065064,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.001039687,0.06444246403407305,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,sdsos,SCS,optimal_inaccurate,-56063.71369943464,0.166910458,0.23605685704387724,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.017193560585397647,0.000506525,0.013878772035241127,
hard_sos,2,2,4,1,6,hard_sos_random_psd_gram,sos,SCS,optimal,0.017193641871582482,0.005694497,0.01959855097811669,
hard_sos,2,2,4,2,6,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000394879,0.04784892499446869,
hard_sos,2,2,4,2,6,hard_sos_random_psd_gram,dsos,SCS,infeasible,-inf,0.00022351899999999999,0.04926613706629723,
hard_sos,2,2,4,2,6,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.000956169,0.09315169998444617,
